  y      TS     DS     ER
 34.29   0.46   0.00   0.00
 53.88   0.00   0.00   1.00
 58.78  -3.26   1.00   1.00
 12.24   0.46   0.00   0.00
 51.43  -3.26   1.00   1.00
 44.08   1.00   1.00   1.00
 63.67  -1.00   1.00   1.00
 51.43   0.00   1.00   0.00
  7.35   1.00   0.00   1.00
 36.73   0.96   0.00   1.00
 19.59   0.00   1.00   1.00
 19.59  -1.00   0.00   0.00
 36.73   1.00   0.00   1.00
 19.59   0.00   1.00   0.00
 66.12   0.00   1.00   1.00
 71.02  -1.00   1.00   0.00
 51.43   0.00   1.00   1.00
 24.49   3.54   0.00   1.00
 39.18  -1.00   0.00   1.00
 31.84   0.00   1.00   0.00
 73.47   1.00   1.00   1.00
 17.14  -1.00   0.00   0.00
 56.33   0.00   1.00   1.00
 26.94   3.54   0.00   1.00
 83.27  -3.26   1.00   1.00
 63.67  -1.00   1.00   1.00
 95.51   0.00   1.00   0.00
 17.14   0.46   0.00   0.00
 66.12  -3.58   1.00   0.00
 31.84   1.00   0.00   1.00
 63.67  -1.00   1.00   1.00
 80.82   1.00   1.00   1.00
 88.16  -0.64   1.00   1.00
 12.24  -7.34   0.00   0.00
 19.59   0.00   0.00   0.00
 73.47  -0.53   0.00   1.00
 29.39   3.54   0.00   1.00
 36.73   1.36   1.00   1.00
 68.57   0.00   0.00   0.00
 24.49  -3.58   1.00   0.00
  2.45   0.96   0.00   1.00
  4.90   0.46   0.00   0.00
 34.29  -1.00   1.00   0.00
 29.39  -3.58   1.00   0.00
 44.08   1.23   1.00   0.00
  7.35   1.23   1.00   0.00
 68.57   0.96   0.00   1.00
 19.59  -1.00   0.00   0.00
 41.63   1.23   1.00   0.00
 66.12  -1.00   1.00   1.00
 22.04   1.00   0.00   1.00
 22.04   0.00   0.00   0.00
 61.22   0.00   0.00   0.00
 17.14   1.23   1.00   0.00
  7.35   0.00   0.00   0.00
 31.84   3.54   0.00   1.00
  7.35   0.00   0.00   1.00
 29.39   0.46   0.00   0.00
 26.94   1.23   1.00   0.00
 14.69   0.00   0.00   1.00
 26.94  -0.64   1.00   1.00
 68.57  -1.00   1.00   0.00
 34.29  -0.53   0.00   1.00
 44.08  -0.53   0.00   1.00
 22.04  -0.53   0.00   1.00
 71.02  -1.00   1.00   0.00
 63.67  -1.00   1.00   1.00
